"REF_DATE","GEO","DGUID","Wages","Type of work","National Occupational Classification (NOC)","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Administrative occupations and transportation logistics occupations [13]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409161","1.3.3.12.1.1","433.57","","","","2"
"2020","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Administrative occupations and transportation logistics occupations [13]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409161","1.3.3.12.1.1","468.09","","","","2"
"2021","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Administrative occupations and transportation logistics occupations [13]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409161","1.3.3.12.1.1","465.18","","","","2"
"2022","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Administrative occupations and transportation logistics occupations [13]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409161","1.3.3.12.1.1","478.80","","","","2"
"2023","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Administrative occupations and transportation logistics occupations [13]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409161","1.3.3.12.1.1","493.07","","","","2"
"2018","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Administrative and financial support and supply chain logistics occupations [14]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409173","1.3.3.13.1.1","333.23","","","","2"
"2019","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Administrative and financial support and supply chain logistics occupations [14]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409173","1.3.3.13.1.1","330.51","","","","2"
"2020","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Administrative and financial support and supply chain logistics occupations [14]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409173","1.3.3.13.1.1","366.01","","","","2"
"2021","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Administrative and financial support and supply chain logistics occupations [14]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409173","1.3.3.13.1.1","371.10","","","","2"
"2022","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Administrative and financial support and supply chain logistics occupations [14]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409173","1.3.3.13.1.1","372.19","","","","2"
